# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.82378	           1	    -122.461	     10.7422	          34
     1.82378	           1	    -131.055	     27.9297	       21.25
     1.82276	           1	    -126.758	     10.7422	       38.25
     1.82133	           1	    -131.055	     15.0391	          34
     1.82109	           1	    -131.055	     32.2266	          34
     1.82072	           1	    -118.164	     32.2266	          17
     1.81903	           1	    -126.758	     15.0391	       29.75
     1.81736	           1	    -118.164	     19.3359	          17
     1.81709	           1	    -118.164	     15.0391	          34
     1.81589	           1	    -118.164	     36.5234	        25.5
     1.81575	           1	    -131.055	     10.7422	       38.25
     1.81388	           1	    -118.164	     36.5234	          17
     1.81388	           1	    -126.758	     19.3359	        42.5
     1.81338	           1	    -135.352	     6.44531	        25.5
     1.81238	           1	    -122.461	     15.0391	          34
     1.81136	           1	     -109.57	     15.0391	          34
     1.81057	           1	    -143.945	     15.0391	       21.25
     1.80991	           1	     -109.57	     19.3359	        25.5
     1.80876	           1	    -122.461	     10.7422	       29.75
     1.80798	           1	     -109.57	     23.6328	       29.75
     1.80785	           1	    -122.461	     19.3359	       12.75
     1.80729	           1	     -109.57	     23.6328	       21.25
     1.80702	           1	    -135.352	     19.3359	       29.75
     1.80702	           1	    -113.867	     36.5234	        25.5
     1.80632	           1	     -109.57	     32.2266	         8.5
     1.80597	           1	    -113.867	     40.8203	         8.5
     1.80587	           1	    -126.758	     10.7422	       29.75
     1.80556	           1	    -139.648	     15.0391	          17
      1.8051	           1	    -122.461	     10.7422	       21.25
     1.80298	           1	    -131.055	     15.0391	       29.75
     1.80117	           1	    -135.352	     15.0391	          17
     1.79974	           1	     -109.57	     32.2266	          17
      1.7997	           1	     -109.57	     27.9297	       29.75
     1.79922	           1	    -118.164	     19.3359	       12.75
      1.7992	           1	    -135.352	     23.6328	       21.25
     1.79913	           1	    -139.648	     19.3359	       21.25
     1.79901	           1	    -135.352	     10.7422	       21.25
     1.79678	           1	     -109.57	     27.9297	          17
      1.7964	           1	    -113.867	     36.5234	       21.25
     1.79583	           1	    -126.758	     36.5234	        25.5
     1.79576	           1	    -113.867	     23.6328	        42.5
     1.79416	           1	     -109.57	     27.9297	          34
     1.79407	           1	    -122.461	     19.3359	         8.5
     1.79357	           1	    -126.758	     32.2266	          34
      1.7931	           1	     -109.57	     23.6328	        42.5
     1.79305	           1	    -118.164	     36.5234	       21.25
     1.79262	           1	    -122.461	     23.6328	          17
     1.79261	           1	    -126.758	     15.0391	       38.25
     1.79177	           1	    -126.758	     10.7422	        42.5
     1.79166	           1	    -118.164	     10.7422	          34
      1.7913	           1	    -113.867	     15.0391	       46.75
     1.78952	           1	    -118.164	     10.7422	       21.25
     1.78915	           1	     -109.57	     32.2266	        25.5
