# amide: ROI Analysis File - generated on Fri Aug 20 14:32:50 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     8.57531	           1	     131.055	     40.8203	        25.5
     8.57531	           1	     135.352	     40.8203	        25.5
     8.57514	           1	     152.539	     2.14844	         -17
     8.57105	           1	     152.539	     2.14844	       -25.5
     8.56454	           1	     131.055	     36.5234	       -4.25
     8.56281	           1	     135.352	     40.8203	      -12.75
     8.56092	           1	     131.055	     36.5234	        -8.5
     8.55649	           1	     152.539	     23.6328	           0
     8.55632	           1	     139.648	    -10.7422	      -29.75
     8.55501	           1	     135.352	     40.8203	         8.5
      8.5492	           1	     131.055	     40.8203	        4.25
     8.54649	           1	     135.352	     10.7422	      -38.25
     8.53619	           1	     122.461	     27.9297	          34
     8.53491	           1	     139.648	     36.5234	         8.5
      8.5324	           1	     135.352	     32.2266	       12.75
     8.52355	           1	     126.758	     36.5234	       12.75
     8.52204	           1	     135.352	     40.8203	        4.25
     8.51651	           1	     135.352	     6.44531	      -38.25
     8.51596	           1	     105.273	     32.2266	          34
     8.51259	           1	     152.539	     2.14844	        -8.5
     8.49566	           1	     126.758	     40.8203	       21.25
     8.49273	           1	     131.055	     2.14844	      -29.75
      8.4859	           1	     148.242	    -6.44531	         -17
     8.47926	           1	     139.648	     40.8203	        25.5
     8.47841	           1	     126.758	     40.8203	        25.5
     8.47761	           1	     143.945	     19.3359	         -34
     8.47032	           1	     126.758	     6.44531	      -38.25
     8.46532	           1	     143.945	     15.0391	       46.75
     8.46357	           1	     131.055	     10.7422	      -38.25
     8.46317	           1	     126.758	     6.44531	         -34
     8.46176	           1	     135.352	     40.8203	        -8.5
     8.45432	           1	     143.945	     2.14844	       -25.5
     8.45215	           1	     148.242	    -2.14844	       -4.25
     8.44182	           1	     139.648	     32.2266	          17
     8.43401	           1	     148.242	     2.14844	      -12.75
     8.43285	           1	     113.867	     27.9297	       38.25
     8.43172	           1	     139.648	     10.7422	         -34
     8.41872	           1	     148.242	     2.14844	      -21.25
     8.41767	           1	     143.945	     32.2266	        25.5
     8.41056	           1	     148.242	     19.3359	        42.5
     8.41047	           1	     152.539	     2.14844	      -21.25
     8.38544	           1	     143.945	    -10.7422	      -21.25
     8.37816	           1	     152.539	     23.6328	        -8.5
     8.37742	           1	     131.055	     23.6328	       38.25
     8.37658	           1	     143.945	     32.2266	          34
     8.36947	           1	     131.055	     32.2266	       12.75
     8.36276	           1	     126.758	     40.8203	       12.75
     8.36047	           1	     143.945	     19.3359	       38.25
     8.35984	           1	     143.945	     32.2266	           0
     8.35713	           1	     139.648	     36.5234	        4.25
     8.35455	           1	     131.055	     32.2266	        -8.5
      8.3541	           1	     131.055	     40.8203	          17
     8.35389	           1	     148.242	     36.5234	       21.25
     8.34788	           1	     143.945	    -2.14844	        -8.5
     8.33421	           1	     135.352	     32.2266	        4.25
     8.32662	           1	     135.352	     40.8203	          17
     8.32538	           1	     143.945	     2.14844	      -12.75
     8.31828	           1	     131.055	     27.9297	         -17
     8.31554	           1	     131.055	     32.2266	        4.25
     8.30799	           1	     135.352	     40.8203	       29.75
     8.30796	           1	     131.055	     40.8203	       -4.25
     8.29521	           1	     126.758	     40.8203	       29.75
     8.27658	           1	     135.352	     32.2266	         -17
     8.27428	           1	     148.242	    -6.44531	        -8.5
     8.26676	           1	     118.164	     27.9297	          34
     8.26152	           1	     135.352	     36.5234	           0
     8.26068	           1	     139.648	     32.2266	      -12.75
     8.25879	           1	     139.648	     40.8203	          17
     8.25617	           1	     131.055	    -2.14844	         -34
     8.25128	           1	     139.648	     32.2266	        25.5
     8.23828	           1	     152.539	    -2.14844	      -21.25
     8.23129	           1	     113.867	     36.5234	          34
     8.23104	           1	     143.945	    -10.7422	       -25.5
     8.23097	           1	     131.055	     36.5234	           0
     8.22428	           1	     122.461	     36.5234	       46.75
     8.22311	           1	     148.242	     19.3359	         -34
     8.21913	           1	     139.648	     10.7422	      -38.25
     8.21604	           1	     100.977	     32.2266	          34
     8.21142	           1	     139.648	     36.5234	           0
     8.20868	           1	     143.945	     36.5234	       12.75
      8.2068	           1	     135.352	    -6.44531	         -17
     8.20563	           1	     139.648	     40.8203	       12.75
     8.19936	           1	     139.648	    -2.14844	         -34
     8.18436	           1	     131.055	     32.2266	           0
      8.1792	           1	     122.461	    -27.9297	       -25.5
      8.1702	           1	     143.945	     40.8203	       21.25
     8.16917	           1	     139.648	     40.8203	       -4.25
     8.16917	           1	     148.242	     23.6328	       -4.25
     8.16745	           1	     139.648	     19.3359	       38.25
     8.16349	           1	     152.539	    -2.14844	       -4.25
     8.15633	           1	     135.352	     32.2266	         8.5
     8.15373	           1	     126.758	     27.9297	       29.75
     8.14887	           1	     148.242	     19.3359	       38.25
     8.14618	           1	     143.945	     36.5234	       -4.25
     8.14071	           1	     131.055	    -2.14844	       -25.5
     8.14061	           1	     131.055	     27.9297	      -12.75
     8.13298	           1	     139.648	     36.5234	          34
     8.13085	           1	     143.945	     32.2266	       -4.25
     8.11977	           1	     131.055	     19.3359	       46.75
     8.11867	           1	     148.242	     19.3359	       46.75
     8.11849	           1	     131.055	     10.7422	         -34
     8.10448	           1	     135.352	     36.5234	        42.5
     8.09652	           1	     126.758	     40.8203	          17
     8.09555	           1	     131.055	    -6.44531	       -25.5
      8.0871	           1	     131.055	     27.9297	       29.75
     8.08594	           1	     131.055	    -6.44531	      -29.75
     8.07893	           1	     135.352	     2.14844	         -17
     8.07877	           1	     143.945	     32.2266	       38.25
     8.07517	           1	     139.648	     15.0391	         -34
     8.06936	           1	     126.758	     40.8203	         8.5
     8.06915	           1	     152.539	     6.44531	       -25.5
     8.06791	           1	     135.352	     32.2266	        -8.5
     8.06756	           1	     139.648	    -15.0391	       -25.5
      8.0603	           1	     139.648	     6.44531	      -29.75
     8.03279	           1	     135.352	     19.3359	        42.5
     8.03056	           1	     131.055	     32.2266	         -17
     8.02331	           1	     139.648	     6.44531	      -38.25
     8.02222	           1	     113.867	     27.9297	          34
     8.01999	           1	     135.352	     27.9297	         -17
     8.01894	           1	     118.164	     27.9297	       46.75
     8.01289	           1	     143.945	     36.5234	           0
     8.01042	           1	     156.836	     6.44531	      -29.75
     7.99539	           1	     126.758	     36.5234	       46.75
     7.99273	           1	     131.055	     32.2266	         8.5
     7.99172	           1	      109.57	     36.5234	       38.25
      7.9869	           1	     126.758	     32.2266	           0
     7.98625	           1	     143.945	    -6.44531	        -8.5
     7.97856	           1	     143.945	     32.2266	        42.5
     7.97571	           1	     131.055	     40.8203	      -12.75
     7.97436	           1	     126.758	     36.5234	         8.5
     7.97162	           1	     148.242	     2.14844	         -17
     7.96107	           1	     135.352	    -10.7422	      -21.25
     7.95635	           1	     139.648	     32.2266	       12.75
     7.95368	           1	     148.242	    -2.14844	           0
     7.95004	           1	     148.242	     27.9297	          34
     7.94736	           1	     152.539	     27.9297	        -8.5
     7.93152	           1	     126.758	     23.6328	        42.5
     7.93043	           1	     135.352	     19.3359	       38.25
     7.91102	           1	     143.945	    -10.7422	         -17
     7.91065	           1	     122.461	    -27.9297	      -29.75
     7.90524	           1	      109.57	     27.9297	          34
     7.90413	           1	     148.242	     23.6328	       46.75
     7.90362	           1	     143.945	     10.7422	      -29.75
      7.9028	           1	     118.164	    -27.9297	       -25.5
      7.9015	           1	     135.352	     32.2266	          17
     7.89756	           1	     122.461	     27.9297	       29.75
     7.89673	           1	     135.352	     10.7422	         -34
     7.89519	           1	     148.242	     19.3359	      -29.75
     7.89279	           1	     105.273	     27.9297	          34
     7.89163	           1	     105.273	     32.2266	       38.25
     7.87683	           1	     152.539	     15.0391	         -34
     7.87543	           1	     139.648	     40.8203	        -8.5
     7.87163	           1	     131.055	     2.14844	       -25.5
      7.8652	           1	     135.352	     2.14844	      -21.25
     7.86015	           1	     156.836	     2.14844	        -8.5
      7.8594	           1	     143.945	     2.14844	      -21.25
     7.85793	           1	     148.242	     2.14844	        -8.5
     7.85304	           1	     122.461	    -23.6328	      -29.75
     7.84842	           1	     135.352	    -15.0391	       -25.5
     7.84248	           1	     156.836	     23.6328	       -4.25
     7.83151	           1	     135.352	     32.2266	           0
     7.83066	           1	      109.57	     27.9297	       38.25
      7.8303	           1	     126.758	     10.7422	         -34
     7.82602	           1	     148.242	    -6.44531	       -4.25
     7.82393	           1	     135.352	     27.9297	       29.75
      7.8203	           1	     131.055	     40.8203	          34
     7.81756	           1	     135.352	    -15.0391	      -29.75
      7.8157	           1	     139.648	     32.2266	           0
     7.81091	           1	     113.867	     27.9297	        42.5
     7.80972	           1	     126.758	     40.8203	          34
     7.80662	           1	     135.352	     32.2266	        25.5
     7.80623	           1	     152.539	     2.14844	         -34
     7.80527	           1	     126.758	     2.14844	         -34
     7.79831	           1	     126.758	     10.7422	      -38.25
     7.79739	           1	     135.352	     23.6328	          51
     7.78601	           1	     126.758	     40.8203	        4.25
     7.78543	           1	     131.055	     40.8203	        -8.5
      7.7829	           1	     126.758	     36.5234	        4.25
      7.7783	           1	     143.945	     32.2266	       29.75
     7.77422	           1	     139.648	     2.14844	      -21.25
     7.76925	           1	     139.648	    -10.7422	         -17
     7.76102	           1	     156.836	     19.3359	       -4.25
     7.76024	           1	     105.273	    -23.6328	      -12.75
     7.75663	           1	     156.836	     2.14844	      -12.75
     7.74899	           1	     148.242	     2.14844	           0
     7.74768	           1	     143.945	    -2.14844	       -4.25
     7.74065	           1	      109.57	     36.5234	          34
     7.73988	           1	     152.539	     19.3359	        -8.5
     7.73972	           1	     143.945	     23.6328	          34
      7.7251	           1	     100.977	     27.9297	          34
     7.71685	           1	     148.242	     27.9297	        42.5
     7.71594	           1	     122.461	     36.5234	        25.5
     7.70578	           1	     135.352	    -6.44531	         -34
     7.70577	           1	     139.648	     23.6328	          51
     7.69946	           1	      109.57	    -23.6328	      -12.75
     7.69739	           1	     143.945	     36.5234	        -8.5
     7.69487	           1	     152.539	     19.3359	           0
     7.68938	           1	     122.461	     40.8203	        25.5
     7.68094	           1	     118.164	     32.2266	       29.75
     7.67965	           1	     135.352	     15.0391	       46.75
     7.67587	           1	     152.539	     32.2266	       -4.25
     7.67579	           1	     148.242	     32.2266	          17
      7.6676	           1	     148.242	     36.5234	          17
     7.66678	           1	     135.352	     32.2266	       21.25
      7.6648	           1	     131.055	     32.2266	       -4.25
     7.65217	           1	     148.242	    -6.44531	       -25.5
      7.6504	           1	     152.539	     32.2266	           0
     7.64929	           1	     126.758	    -23.6328	      -29.75
     7.64757	           1	     131.055	     32.2266	        25.5
     7.64677	           1	     152.539	    -2.14844	       -25.5
     7.63961	           1	     139.648	    -2.14844	        -8.5
      7.6331	           1	     131.055	     32.2266	          17
     7.62864	           1	     122.461	    -23.6328	       -25.5
     7.62513	           1	     126.758	     27.9297	      -12.75
     7.62513	           1	     139.648	     40.8203	      -12.75
     7.61881	           1	     139.648	     19.3359	         -34
     7.60718	           1	     105.273	     36.5234	          34
     7.60661	           1	     143.945	     40.8203	        25.5
     7.60619	           1	     126.758	     36.5234	           0
     7.59938	           1	     131.055	    -10.7422	       -25.5
     7.59158	           1	     122.461	     36.5234	          17
       7.591	           1	     143.945	     40.8203	          17
     7.58479	           1	     143.945	    -2.14844	         -34
     7.58414	           1	     122.461	     36.5234	       21.25
     7.58219	           1	     118.164	    -27.9297	      -21.25
     7.57711	           1	     118.164	    -23.6328	       -25.5
      7.5741	           1	     126.758	     23.6328	         -17
     7.56886	           1	     126.758	     23.6328	       38.25
     7.56238	           1	     148.242	     23.6328	          34
     7.56121	           1	     152.539	     2.14844	       -4.25
     7.55972	           1	     126.758	     32.2266	        25.5
     7.55622	           1	     100.977	    -23.6328	      -12.75
     7.55144	           1	     131.055	     2.14844	      -38.25
     7.54547	           1	     139.648	     2.14844	         -17
     7.54323	           1	     148.242	     27.9297	        -8.5
      7.5411	           1	     156.836	     10.7422	      -29.75
     7.53864	           1	     126.758	    -27.9297	      -29.75
     7.53323	           1	     156.836	     2.14844	         -17
     7.53056	           1	     148.242	    -6.44531	      -29.75
     7.53015	           1	     148.242	     27.9297	       21.25
     7.52686	           1	     148.242	     2.14844	       -4.25
     7.52598	           1	     100.977	     36.5234	          34
     7.52402	           1	     152.539	     6.44531	      -12.75
     7.51841	           1	     139.648	     40.8203	        4.25
     7.51697	           1	     156.836	     23.6328	           0
     7.51533	           1	     122.461	    -27.9297	      -21.25
     7.50947	           1	     148.242	     23.6328	           0
     7.50673	           1	     113.867	     36.5234	        42.5
     7.50599	           1	     126.758	     27.9297	         -17
     7.50389	           1	     96.6797	     32.2266	          34
      7.5028	           1	     135.352	     6.44531	      -29.75
     7.50064	           1	     135.352	     27.9297	          51
     7.49487	           1	     131.055	    -2.14844	      -21.25
     7.49239	           1	     139.648	     32.2266	        4.25
     7.48879	           1	     152.539	     6.44531	        -8.5
     7.48826	           1	     152.539	     15.0391	       -4.25
      7.4851	           1	     118.164	    -23.6328	      -21.25
     7.48321	           1	     131.055	     40.8203	           0
     7.48099	           1	     143.945	    -10.7422	      -12.75
     7.47707	           1	     135.352	     27.9297	      -12.75
     7.47678	           1	     135.352	     40.8203	           0
